ds,yhat,yhat_lower,yhat_upper
2020-10-19,482.8430451197274,42.697463614481464,893.427015689574
2020-10-20,483.1721565266878,23.95041640073769,914.48746653955
2020-10-21,483.2842960585796,64.55585487710239,929.9242846684944
2020-10-22,483.3964355904715,46.90279612610327,924.6841618876865
2020-10-23,483.50857512236337,68.40635147241989,873.6429414272452
2020-10-24,483.6207146542553,70.12896217527772,886.3893257410933
2020-10-25,483.73285418614716,47.81100816010353,915.9261614127757
2020-10-26,483.8449937180391,56.0421879273862,918.6879302440703
2020-10-27,483.95713324993096,41.21745395355885,890.5470392331509
2020-10-28,484.06927278182286,62.06062183516918,932.1147912123483
2020-10-29,484.18141231371476,60.674634399015936,912.1703769081793
2020-10-30,484.29355184560666,39.00162994861255,927.4850402494219
2020-10-31,484.4056913774985,51.55937290853394,943.9217288444689
2020-11-01,484.51783090939045,67.31596195890795,943.5561692418108
2020-11-02,484.6299704412823,61.79505019578612,911.5785443589513
2020-11-03,484.7421099731742,74.69740166034532,913.9958523389712
2020-11-04,484.8542495050661,79.95170333541475,926.2489633712678
2020-11-05,484.966389036958,60.72579700418183,894.4500213060124
2020-11-06,485.07852856884983,56.13382201222436,941.2247393264402
2020-11-07,485.1906681007418,55.26812731811685,918.2070468058032
2020-11-08,485.30280763263363,83.11332726989207,906.7174298837851
2020-11-09,485.4149471645256,64.94649884659341,912.6095979392181
2020-11-10,485.5270866964174,61.19003237370821,916.3471380902694
2020-11-11,485.6392262283093,86.63444195137224,896.3143370196417
2020-11-12,485.75136576020117,47.09546286212601,938.3630486600531
2020-11-13,485.8635052920931,28.990292034535827,904.601490423074
2020-11-14,485.97564482398496,63.555621675463364,914.6473114467918
2020-11-15,486.0877843558769,52.36587039982055,915.4133568439778
2020-11-16,486.19992388776876,15.090354865870093,896.4065514868178
2020-11-17,486.31206341966066,73.54713969066782,935.0085050845944
2020-11-18,486.4242029515525,69.56196492446881,921.1937856141215
2020-11-19,486.53634248344446,70.66248332754323,919.4441427213452
2020-11-20,486.6484820153363,98.87067041171831,905.0545580128255
2020-11-21,486.76062154722825,67.03436617134784,904.0382883759587
2020-11-22,486.8727610791201,55.35144228781773,933.4528128150546
2020-11-23,486.984900611012,61.663181957657805,883.296689763508
2020-11-24,487.09704014290384,74.63937252533732,922.705357242938
2020-11-25,487.2091796747958,23.185607239103724,904.8705412528675
2020-11-26,487.32131920668763,65.99589802127181,919.676876074263
2020-11-27,487.4334587385796,32.940419299792495,915.2191708069089
2020-11-28,487.54559827047143,78.06664673359617,925.4922406858808
2020-11-29,487.65773780236333,86.07423982800626,908.889420071341
2020-11-30,487.7698773342552,47.80852553396942,938.0384728712121
2020-12-01,487.8820168661471,66.88225494374686,914.1315994154215
2020-12-02,487.99415639803897,23.045358413202703,930.6048099527511
2020-12-03,488.1062959299309,92.70718686974111,907.5872681027581
2020-12-04,488.21843546182276,69.05485714108814,946.2880974720406
2020-12-05,488.3305749937147,65.13579347143212,916.7834482471605
2020-12-06,488.44271452560656,64.88106234537119,910.3327238828654
2020-12-07,488.55485405749846,51.78137530830951,887.7310199211533
2020-12-08,488.6669935893904,46.73430264377896,868.1717629287846
2020-12-09,488.77913312128226,90.75864634570122,940.8993430254154
